filename,class,xmin,ymin,xmax,ymax,width,height
00054602-3bf57337.jpg,car,1254.239661,250.586088,1278.710959,273.099682,1280,720
00054602-3bf57337.jpg,car,1213.127881,244.712976,1255.218513,279.951644,1280,720
00054602-3bf57337.jpg,car,1164.185286,248.628383,1219.000993,295.613273,1280,720
00054602-3bf57337.jpg,car,1110.348432,253.522643,1192.571992,306.380645,1280,720
00054602-3bf57337.jpg,car,819.629416,259.395755,1036.934539,385.66765,1280,720
00067cfb-e535423e.jpg,traffic sign,548.7505,93.969783,597.203668,160.042286,1280,720
00067cfb-e535423e.jpg,traffic sign,498.829052,255.480346,557.560166,278.972792,1280,720
00067cfb-e535423e.jpg,traffic sign,522.321498,278.972793,553.155334,305.401794,1280,720
00067cfb-e535423e.jpg,traffic sign,514.980108,312.743185,553.155334,346.513574,1280,720
00067cfb-e535423e.jpg,traffic sign,1248.03619,345.674556,1264.187247,354.484222,1280,720
00067cfb-e535423e.jpg,truck,0.839016,310.855412,410.488537,532.565368,1280,720
00067cfb-e535423e.jpg,bus,0.839016,315.260243,34.609406,437.127306,1280,720
00067cfb-e535423e.jpg,person,199.056526,335.816133,316.518755,604.510982,1280,720
00067cfb-e535423e.jpg,person,727.531679,390.56191,745.151014,444.888191,1280,720
00067cfb-e535423e.jpg,person,862.61324,384.688798,877.296017,433.141967,1280,720
00067cfb-e535423e.jpg,person,884.637407,383.22052,896.383632,419.927465,1280,720
00067cfb-e535423e.jpg,person,872.891186,384.688798,890.510521,434.610245,1280,720
00067cfb-e535423e.jpg,person,852.335296,389.093632,868.486352,434.610248,1280,720
00067cfb-e535423e.jpg,person,790.667626,381.752242,817.096628,453.697858,1280,720
00067cfb-e535423e.jpg,person,731.936512,397.903299,792.135904,543.262806,1280,720
00067cfb-e535423e.jpg,person,883.169131,384.688798,903.725022,455.166134,1280,720
00067cfb-e535423e.jpg,car,1050.405971,381.752242,1066.557026,397.903299,1280,720
00067cfb-e535423e.jpg,car,1053.342525,383.22052,1070.96186,399.371575,1280,720
00067cfb-e535423e.jpg,car,1065.088748,384.688798,1084.176362,406.712964,1280,720
00067cfb-e535423e.jpg,car,1075.366693,387.625354,1095.922583,414.054357,1280,720
00067cfb-e535423e.jpg,car,1078.303249,390.56191,1107.668806,427.268855,1280,720
00067cfb-e535423e.jpg,car,1001.952799,384.688798,1054.810802,408.181244,1280,720
00067cfb-e535423e.jpg,car,999.016245,392.030188,1056.27908,419.927466,1280,720
00067cfb-e535423e.jpg,car,1142.907475,387.625354,1176.677867,409.649522,1280,720
00067cfb-e535423e.jpg,car,1151.71714,393.498466,1175.209586,416.990912,1280,720
00067cfb-e535423e.jpg,car,1163.463365,390.56191,1201.638589,425.80058,1280,720
00067cfb-e535423e.jpg,car,1175.209587,396.435021,1208.979977,428.737134,1280,720
00067cfb-e535423e.jpg,car,1195.765478,390.56191,1245.686925,437.546801,1280,720
00067cfb-e535423e.jpg,car,1208.979979,397.903299,1253.028315,440.483355,1280,720
00067cfb-e535423e.jpg,car,1236.877258,396.435021,1279.457316,455.166136,1280,720
00067cfb-e535423e.jpg,car,1096.803571,387.415607,1162.876075,438.805333,1280,720
00067cfb-e535423e.jpg,car,963.190285,412.376332,1060.096623,479.917113,1280,720
00067cfb-e535423e.jpg,traffic light,556.477319,312.323677,590.24771,349.030625,1280,720
00091078-59817bb0.jpg,car,0,405.78933,125.506303,510.128293,1280,720
00091078-59817bb0.jpg,traffic light,273.777462,275.091048,290.252035,306.94189,1280,720
00091078-59817bb0.jpg,traffic light,333.085924,260.813086,349.560497,293.762231,1280,720
00091078-59817bb0.jpg,traffic sign,184.814767,344.284257,206.780865,350.874087,1280,720
00091078-59817bb0.jpg,traffic light,612.055363,283.877488,621.940107,311.335109,1280,720
00091078-59817bb0.jpg,traffic light,672.462131,281.680879,679.05196,308.040196,1280,720
00091078-59817bb0.jpg,traffic sign,693.329924,298.155452,706.509582,312.433415,1280,720
00091078-59817bb0.jpg,car,218.862217,370.643574,326.496095,460.704574,1280,720
00091078-59817bb0.jpg,car,638.414679,345.382562,716.394326,473.884232,1280,720
00091078-59817bb0.jpg,car,704.312973,371.741879,755.933302,462.901183,1280,720
00091078-59817bb0.jpg,car,279.268985,313.53172,709.804498,685.857073,1280,720
00091078-59817bb0.jpg,truck,612.055363,311.33511,729.573985,386.019843,1280,720
00091078-59817bb0.jpg,bus,730.67229,0.51483,1278.306668,717.707915,1280,720
00091078-59817bb0.jpg,truck,461.587595,257.518172,603.268924,325.613074,1280,720
0010bf16-a457685b.jpg,traffic sign,566.480335,232.082252,610.151728,247.0553,1280,720
0010bf16-a457685b.jpg,traffic light,536.534238,219.604712,546.516272,233.330006,1280,720
0010bf16-a457685b.jpg,traffic light,414.254342,219.604712,426.731883,239.568774,1280,720
0010bf16-a457685b.jpg,traffic light,71.12198,145.987223,83.599521,182.17209,1280,720
0010bf16-a457685b.jpg,traffic light,43.671391,139.748453,63.635456,178.428827,1280,720
0010bf16-a457685b.jpg,traffic light,52.40567,200.888401,67.378719,229.586743,1280,720
0010bf16-a457685b.jpg,traffic sign,26.202835,207.127171,42.423636,229.586744,1280,720
0010bf16-a457685b.jpg,traffic sign,52.40567,239.568776,91.086045,253.294072,1280,720
0010bf16-a457685b.jpg,car,618.886005,295.717708,651.32761,355.609902,1280,720
0010bf16-a457685b.jpg,car,586.4444,286.98343,627.620283,356.857656,1280,720
0010bf16-a457685b.jpg,car,0,249.550809,132.261929,421.740865,1280,720
0010bf16-a457685b.jpg,car,203.383909,224.595728,627.620282,573.96686,1280,720
0010bf16-a457685b.jpg,bus,643.841086,22.459573,1240.267518,486.624078,1280,720
0010bf16-a457685b.jpg,traffic sign,218.356957,252.046317,239.568776,298.213215,1280,720
00495359-1d04dd8a.jpg,car,392.534164,515.324661,564.968029,717.412757,1280,720
00495359-1d04dd8a.jpg,car,611.549787,544.210065,704.288002,718.84054,1280,720
00495359-1d04dd8a.jpg,car,0.439315,364.885588,426.581609,719.829019,1280,720
00495359-1d04dd8a.jpg,car,635.259534,419.991786,1277.767886,718.730714,1280,720
0066b72f-974f6883.jpg,car,0,229.763792,27.315643,313.677529,1280,720
0066b72f-974f6883.jpg,car,424.157688,236.756605,427.654095,262.979647,1280,720
0066b72f-974f6883.jpg,car,425.905892,231.511996,471.359166,269.972458,1280,720
0066b72f-974f6883.jpg,car,464.366354,235.008402,481.848382,248.994025,1280,720
0066b72f-974f6883.jpg,car,684.639913,229.763792,719.603969,257.735039,1280,720
0066b72f-974f6883.jpg,traffic sign,485.34479,214.029968,546.53189,278.713473,1280,720
0066b72f-974f6883.jpg,traffic sign,1036.028686,159.83568,1245.813029,390.598456,1280,720
0066b72f-974f6883.jpg,traffic sign,579.747743,193.051533,607.718988,224.519184,1280,720
006a7635-c42f9f97.jpg,traffic light,585.344898,297.994738,591.739632,314.621055,1280,720
006a7635-c42f9f97.jpg,traffic light,594.297529,297.994738,600.692265,317.178949,1280,720
006a7635-c42f9f97.jpg,traffic light,641.618582,338.921055,654.408056,350.431582,1280,720
006a7635-c42f9f97.jpg,traffic light,575.113319,324.852633,582.787002,335.084212,1280,720
006a7635-c42f9f97.jpg,car,608.365953,355.54737,621.155424,370.894738,1280,720
006a7635-c42f9f97.jpg,car,613.48174,352.989476,649.292266,383.684213,1280,720
006a7635-c42f9f97.jpg,car,628.82911,361.942107,645.455424,388.800001,1280,720
006a7635-c42f9f97.jpg,car,636.502792,361.942107,655.687002,390.078949,1280,720
006a7635-c42f9f97.jpg,car,651.850161,355.54737,678.708056,395.194738,1280,720
006a7635-c42f9f97.jpg,car,665.918583,364.500002,690.218585,397.752634,1280,720
006a7635-c42f9f97.jpg,car,682.544898,351.710529,713.239635,405.426319,1280,720
006a7635-c42f9f97.jpg,car,697.892266,350.431581,760.560687,414.378949,1280,720
006a7635-c42f9f97.jpg,car,731.1449,350.431581,823.229111,428.447371,1280,720
006a7635-c42f9f97.jpg,car,774.629109,350.431581,946.008059,459.142108,1280,720
006a7635-c42f9f97.jpg,traffic sign,824.508057,283.926316,848.808057,299.273685,1280,720
006a7635-c42f9f97.jpg,car,865.591568,232.768422,1279.970518,682.957898,1280,720
006a7635-c42f9f97.jpg,car,348.896829,335.084212,650.728409,572.968424,1280,720
0096bcca-c2027ec4.jpg,car,608.418456,414.508033,634.126278,434.094944,1280,720
0096bcca-c2027ec4.jpg,car,629.229549,418.180579,667.179191,434.094944,1280,720
0096bcca-c2027ec4.jpg,car,663.506646,421.853124,710.025561,443.888401,1280,720
0096bcca-c2027ec4.jpg,car,699.007923,421.853124,761.441206,458.578585,1280,720
